Subzone N,Geometry,Latitude (generated),Longitude (generated),Four Rm,Three Rm
HENDERSON HILL,POLYGON,1.286058619,103.820866308,2580,3910
GUL CIRCLE,POLYGON,1.314861444,103.666224519,0,0
GUL BASIN,POLYGON,1.302200123,103.676675123,0,0
GUILIN,POLYGON,1.356296700,103.754842735,2360,3580
GREENWOOD PARK,POLYGON,1.446857332,103.784217088,0,0
GOODWOOD PARK,POLYGON,1.312949748,103.834613270,0,0
GOMBAK,POLYGON,1.366931191,103.757870730,4000,0
GHIM MOH,POLYGON,1.312117111,103.786884564,2810,4690
GEYLANG EAST,POLYGON,1.314406087,103.898400711,7330,6960
GEYLANG BAHRU,POLYGON,1.323209701,103.871067633,1460,7660
GALI BATU,POLYGON,1.399012576,103.760509925,0,0
FRANKEL,POLYGON,1.311613664,103.918657252,0,0
FORT CANNING,POLYGON,1.294625930,103.845656431,0,0
FLORA DRIVE,POLYGON,1.358613835,103.967692422,0,0
FERNVALE,POLYGON,1.393059226,103.879686326,24230,5880
FARRER PARK,POLYGON,1.310639439,103.853016872,1920,320
FARRER COURT,POLYGON,1.317041808,103.804923197,550,980
FAJAR,POLYGON,1.383458630,103.770697896,14110,1970
FABER,POLYGON,1.322791219,103.756511484,0,0
EVERTON PARK,POLYGON,1.276350446,103.838520164,2230,2010
EAST COAST,POLYGON,1.298865062,103.909083535,0,0
DUNEARN,POLYGON,1.325483684,103.821416747,0,0
DOVER,POLYGON,1.304307712,103.782658353,3590,2920
DHOBY GHAUT,POLYGON,1.299257946,103.846138545,0,0
DEPOT ROAD,POLYGON,1.281667234,103.807975571,1720,0
DEFU INDUSTRIAL PARK,POLYGON,1.349746650,103.896058038,0,0
DAIRY FARM,POLYGON,1.369307387,103.771666025,0,0
CRAWFORD,POLYGON,1.297936977,103.862714744,830,2610
CORONATION ROAD,POLYGON,1.324436563,103.803372203,0,0
CONEY ISLAND,POLYGON,1.410676939,103.922179795,0,0
COMPASSVALE,POLYGON,1.384674704,103.890205377,12640,390
COMMONWEALTH,POLYGON,1.307066918,103.799613235,270,5770
CLIFFORD PIER,POLYGON,1.284151433,103.853155716,0,0
CLEMENTI WOODS,POLYGON,1.300464877,103.768477610,5670,3040
CLEMENTI WEST,POLYGON,1.298603038,103.764609969,4220,8070
